start_date,end_date
2000-10-17,2003-03-04
2006-04-25,2007-02-13
2007-10-10,2009-04-07
2000-10-17,2003-03-04
2006-04-25,2007-02-13
2007-10-10,2009-04-07
2017-09-20,2017-09-26
2000-10-17,2003-03-04
2006-04-25,2007-02-13
2007-10-10,2009-04-07
2017-09-20,2017-09-26
2013-12-21,2013-12-25
2017-01-14,2017-01-16
