start_date,end_date
2012-09-08,2012-09-16
2015-11-30,2015-12-04
2004-07-26,2004-07-26
2013-12-21,2013-12-23
2017-01-14,2017-01-16
2017-04-06,2017-04-17
2018-05-04,2018-05-04
