start_date, end_date
2016-03-17,2016-03-21
2016-05-24,2016-05-26
2016-09-03,2016-09-05
2017-07-07,2017-07-09
2013-05-21,2013-05-24
2013-12-02,2013-12-04
2017-09-18,2017-09-26
2013-12-03,2017-09-18
2015-11-27,2015-11-30
2015-12-26,2016-01-01
