start_date, end_date
2016-08-30,2016-08-31
2016-09-06,2016-09-09
2016-09-10,2016-09-10
2016-09-15,2016-09-16
2016-09-17,2016-09-18
2016-09-18,2016-09-20
2016-10-18,2016-10-19
2016-10-19,2016-10-20
2003-11-04,2007-02-06
2007-02-06,2017-09-18
1999-05-13,1999-05-13
2009-04-22,2009-04-24
2010-05-03,2010-05-07
2017-09-18,2017-09-26
2015-11-27,2015-11-30
