start_date, end_date
2015-02-27,2015-03-06
2015-03-11,2015-03-11
2015-03-13,2015-03-13
2015-03-14,2015-03-14
2015-03-15,2015-03-15
2015-03-16,2015-03-23
2015-12-28,2016-01-05
2016-09-07,2016-09-08
2015-02-27,2015-02-27
2017-05-06,2017-05-10
2017-07-08,2017-08-14
2017-08-14,2017-09-26
2007-10-10,2009-04-07
2009-04-07,2017-08-14
2015-11-27,2015-11-30
2015-12-26,2016-01-01
